Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Type_of_Structure,Work_Description,Active_Parcel,District
"GP-2021-09493","2021-05-20 12:00:00","2021-06-16 12:00:00","2021-06-16 12:00:00","2022-06-16 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",11561,392,"VIEWMOUNT DR","HEAD OF ST MARGARETS BAY","00617670","Accessory Structure","Construct a Boathouse","Y","District 13"
"DEVONLY-2021-11633","2021-06-18 12:00:00",,"2024-01-31 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",78265,1421,"LEMARCHANT ST","HALIFAX","00068312","Accessory Structure","Construct a backyard suite.","Y","District 07"
"DEVONLY-2021-13468","2021-07-22 12:00:00",,"2021-08-21 12:00:00",,"Development Only Permit","Residential","Accessory Structure","Withdrawn",124892,247,"SHEPPARDS RUN","BEECHVILLE","40827503","Accessory Structure","Building a 750 sq ft shed / accessory bldg on a lot that slopes away from the front of the building.  Land drops about 5-6 ft over the length of the building.  Willing to pour a foundation to support it but do not want the lower level to add square footage.","Y","District 12"
"DEVONLY-2021-15083","2021-08-26 12:00:00","2021-09-21 12:00:00","2021-09-21 12:00:00","2022-09-21 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",123500,46,"ASHLEA DR","WINDSOR JUNCTION","40868960","Accessory Structure","permit request for a pool shed. 
it is 8X12 foot lean to structure 43.5 feet (13.25 m)from house","Y","District 01"
"DEVONLY-2021-16889","2021-10-04 12:00:00","2021-11-08 12:00:00","2021-11-08 12:00:00","2022-11-08 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",147576,356,"CELEBRATION DR","FALL RIVER","41317546","Accessory Structure","Building a 10x10 Gable shed to store lawn/snow equipment on my property.

Shed being built using a shed kit from Home Building Centre.

Foundation made of three 4x4 pressure treated timbers.","Y","District 01"
"DEVONLY-2021-18578","2021-11-04 12:00:00","2021-11-25 12:00:00","2021-11-25 12:00:00","2022-11-25 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",37384,92,"SAMPSON DR","LOWER SACKVILLE","40008625","Accessory Structure","Building a 210sqft Shed 14x15x15","Y","District 15"
"DEVONLY-2021-19988","2021-12-13 12:00:00","2022-06-14 12:00:00","2022-06-14 12:00:00","2023-06-14 12:00:00","Development Only Permit","Residential","New Building","Completed",58245,153,"WYSE RD","DARTMOUTH","00045427","Mixed Use - Residential & Other Use(s)","16 storey multi-unit residential development with ground floor commercial and three levels of underground parking.
114 residential units and 119 indoor parking spaces.","Y","District 05"
"DEVONLY-2022-00968","2022-01-26 12:00:00","2022-02-11 12:00:00","2022-02-11 12:00:00","2023-02-11 12:00:00","Development Only Permit","Residential","Accessory Structure","Completed",162547,6560,"HIGHWAY 224","PLEASANT VALLEY","41388992","Accessory Structure","12x16 pre fabricated shed built by community metals in Debert N.S","Y","District 01"
"DEVONLY-2022-02344","2022-02-24 12:00:00",,"2022-03-11 12:00:00",,"Development Only Permit","Residential","Home Occupation","Withdrawn",42716,12,"CORNWALL ST","LOWER SACKVILLE","40003014","Dwelling - Single Detached","I hope I have the right permit - the section said to use Development Permit - Basic and Land Use.

We are looking to convert part of our basement to a small 'production Only' kitchen. This will be used for steaming and baking food only. The kitchen is not a customer facing kitchen - it will only ever have an occupancy of one person to do the baking. Prepared foods will then be delivered to customers and stores that are carrying the products.","Y","District 15"
"DEVONLY-2022-03842","2022-03-23 12:00:00","2022-06-14 12:00:00","2022-06-14 12:00:00","2023-06-14 12:00:00","Development Only Permit","Residential","New Building","Completed",62393,6045,"LADY HAMMOND RD","HALIFAX","00027474","Dwelling - Multiple Units","New construction of a multi unit residential building. 49 units.","Y","District 08"
